edge_key	source_node	edge_type	target_node	geneset_similarity
GO:0009617_is_a_GO:0051707	GO:0009617	is_a	GO:0051707	0.8951612903225806
GO:0006334_part_of_GO:0031497	GO:0006334	part_of	GO:0031497	1.0
GO:0050776_is_a_GO:0002682	GO:0050776	is_a	GO:0002682	0.9166666666666666
GO:0043409_is_a_GO:0001933	GO:0043409	is_a	GO:0001933	0.4074074074074074
GO:0006469_is_a_GO:0001933	GO:0006469	is_a	GO:0001933	0.7777777777777778
GO:1903364_is_a_GO:0045732	GO:1903364	is_a	GO:0045732	0.8695652173913043
GO:0046688_is_a_GO:1990267	GO:0046688	is_a	GO:1990267	0.5909090909090909
GO:0072659_is_a_GO:1990778	GO:0072659	is_a	GO:1990778	0.96875
GO:0016471_part_of_GO:0005774	GO:0016471	part_of	GO:0005774	0.21052631578947367
GO:0006470_is_a_GO:0016311	GO:0006470	is_a	GO:0016311	0.9707112970711297
GO:0006913_is_a_GO:0051169	GO:0006913	is_a	GO:0051169	0.9841269841269841
GO:0030855_part_of_GO:0060429	GO:0030855	part_of	GO:0060429	0.2676056338028169
GO:0048565_part_of_GO:0055123	GO:0048565	part_of	GO:0055123	1.0
GO:0046395_is_a_GO:0019752	GO:0046395	is_a	GO:0019752	0.16103896103896104
GO:0046394_is_a_GO:0019752	GO:0046394	is_a	GO:0019752	0.2649350649350649
GO:0098869_is_a_GO:1990748	GO:0098869	is_a	GO:1990748	1.0
GO:0009416_is_a_GO:0009314	GO:0009416	is_a	GO:0009314	0.5116279069767442
GO:0010212_is_a_GO:0009314	GO:0010212	is_a	GO:0009314	0.5813953488372093
GO:0045732_is_a_GO:0042176	GO:0045732	is_a	GO:0042176	0.4423076923076923
GO:0042177_is_a_GO:0042176	GO:0042177	is_a	GO:0042176	0.19230769230769232
GO:1903362_is_a_GO:0042176	GO:1903362	is_a	GO:0042176	0.7692307692307693
GO:0010165_is_a_GO:0010212	GO:0010165	is_a	GO:0010212	0.44
GO:0010332_is_a_GO:0010212	GO:0010332	is_a	GO:0010212	0.4
GO:1903364_is_a_GO:0031331	GO:1903364	is_a	GO:0031331	0.5405405405405406
GO:0006032_is_a_GO:0006026	GO:0006032	is_a	GO:0006026	0.8913043478260869
GO:0006334_is_a_GO:0034728	GO:0006334	is_a	GO:0034728	0.8571428571428571
GO:0055115_is_a_GO:0022611	GO:0055115	is_a	GO:0022611	0.8
GO:0006171_is_a_GO:0046058	GO:0006171	is_a	GO:0046058	0.9714285714285714
GO:0008286_part_of_GO:0032869	GO:0008286	part_of	GO:0032869	0.8333333333333334
GO:0005874_part_of_GO:0015630	GO:0005874	part_of	GO:0015630	0.44324324324324327
GO:0051348_is_a_GO:0043086	GO:0051348	is_a	GO:0043086	0.19298245614035087
GO:0051346_is_a_GO:0043086	GO:0051346	is_a	GO:0043086	0.6929824561403509
GO:0010921_is_a_GO:0035304	GO:0010921	is_a	GO:0035304	0.8823529411764706
GO:0000723_is_a_GO:0060249	GO:0000723	is_a	GO:0060249	0.8275862068965517
GO:0050770_is_a_GO:0010975	GO:0050770	is_a	GO:0010975	0.7297297297297297
GO:0009411_is_a_GO:0009416	GO:0009411	is_a	GO:0009416	1.0
GO:0010243_is_a_GO:1901698	GO:0010243	is_a	GO:1901698	0.6481481481481481
GO:0006825_is_a_GO:0000041	GO:0006825	is_a	GO:0000041	0.4666666666666667
GO:0001933_is_a_GO:0031400	GO:0001933	is_a	GO:0031400	0.75
GO:0048557_part_of_GO:0048546	GO:0048557	part_of	GO:0048546	0.5789473684210527
GO:0051236_part_of_GO:0006403	GO:0051236	part_of	GO:0006403	0.9444444444444444
GO:0016241_is_a_GO:0032107	GO:0016241	is_a	GO:0032107	0.9333333333333333
GO:0003333_is_a_GO:0006865	GO:0003333	is_a	GO:0006865	0.8780487804878049
GO:0032869_is_a_GO:0071375	GO:0032869	is_a	GO:0071375	1.0
GO:0006576_is_a_GO:0044106	GO:0006576	is_a	GO:0044106	1.0
GO:0006405_is_a_GO:0050658	GO:0006405	is_a	GO:0050658	0.3235294117647059
GO:0051028_is_a_GO:0050658	GO:0051028	is_a	GO:0050658	0.5294117647058824
GO:0031347_is_a_GO:0080134	GO:0031347	is_a	GO:0080134	0.2
GO:0006323_is_a_GO:0071103	GO:0006323	is_a	GO:0071103	0.3835616438356164
GO:0032392_is_a_GO:0071103	GO:0032392	is_a	GO:0071103	0.547945205479452
GO:0035335_is_a_GO:0006470	GO:0035335	is_a	GO:0006470	0.4956896551724138
GO:0033673_is_a_GO:0051348	GO:0033673	is_a	GO:0051348	0.9545454545454546
GO:0006026_is_a_GO:0006022	GO:0006026	is_a	GO:0006022	0.696969696969697
GO:0006030_is_a_GO:0006022	GO:0006030	is_a	GO:0006022	0.803030303030303
GO:0030261_is_a_GO:0006323	GO:0030261	is_a	GO:0006323	0.35714285714285715
GO:0031497_part_of_GO:0006323	GO:0031497	part_of	GO:0006323	0.6428571428571429
GO:0070382_is_a_GO:0099503	GO:0070382	is_a	GO:0099503	0.7777777777777778
GO:0000723_is_a_GO:0032200	GO:0000723	is_a	GO:0032200	1.0
GO:0006063_is_a_GO:0005996	GO:0006063	is_a	GO:0005996	0.7068965517241379
GO:0019318_is_a_GO:0005996	GO:0019318	is_a	GO:0005996	0.2672413793103448
GO:0006030_is_a_GO:1901071	GO:0006030	is_a	GO:1901071	0.9636363636363636
GO:1901072_is_a_GO:1901071	GO:1901072	is_a	GO:1901071	0.7454545454545455
GO:0042176_is_a_GO:0009894	GO:0042176	is_a	GO:0009894	0.611764705882353
GO:0009895_is_a_GO:0009894	GO:0009895	is_a	GO:0009894	0.15294117647058825
GO:0031329_is_a_GO:0009894	GO:0031329	is_a	GO:0009894	0.8823529411764706
GO:0042742_is_a_GO:0009617	GO:0042742	is_a	GO:0009617	0.9819819819819819
GO:0032868_is_a_GO:0043434	GO:0032868	is_a	GO:0043434	1.0
GO:0071375_is_a_GO:0043434	GO:0071375	is_a	GO:0043434	1.0
GO:0006405_is_a_GO:0051168	GO:0006405	is_a	GO:0051168	0.7857142857142857
GO:0071426_is_a_GO:0051168	GO:0071426	is_a	GO:0051168	0.8571428571428571
GO:0006955_is_a_GO:0002376	GO:0006955	is_a	GO:0002376	0.9899665551839465
GO:0048469_is_a_GO:0021700	GO:0048469	is_a	GO:0021700	1.0
GO:0030968_part_of_GO:0034620	GO:0030968	part_of	GO:0034620	0.9210526315789473
GO:0050832_is_a_GO:0009620	GO:0050832	is_a	GO:0009620	0.95
GO:0045121_is_a_GO:0098857	GO:0045121	is_a	GO:0098857	1.0
GO:0043086_is_a_GO:0044092	GO:0043086	is_a	GO:0044092	0.9421487603305785
GO:0052696_is_a_GO:0009812	GO:0052696	is_a	GO:0009812	1.0
GO:0009813_is_a_GO:0009812	GO:0009813	is_a	GO:0009812	1.0
GO:0035304_is_a_GO:0035303	GO:0035304	is_a	GO:0035303	1.0
GO:0032869_is_a_GO:0032868	GO:0032869	is_a	GO:0032868	1.0
GO:0034620_is_a_GO:0035967	GO:0034620	is_a	GO:0035967	0.926829268292683
GO:0045087_is_a_GO:0006955	GO:0045087	is_a	GO:0006955	0.9898648648648649
GO:0031497_is_a_GO:0006333	GO:0031497	is_a	GO:0006333	0.8571428571428571
GO:0032508_is_a_GO:0032392	GO:0032508	is_a	GO:0032392	1.0
GO:0030516_is_a_GO:0050770	GO:0030516	is_a	GO:0050770	0.7777777777777778
GO:1901653_is_a_GO:0071417	GO:1901653	is_a	GO:0071417	0.8
GO:0045597_is_a_GO:0045595	GO:0045597	is_a	GO:0045595	0.14285714285714285
GO:0006904_part_of_GO:0006887	GO:0006904	part_of	GO:0006887	0.352112676056338
GO:0040032_is_a_GO:0009886	GO:0040032	is_a	GO:0009886	0.6190476190476191
GO:0048557_part_of_GO:0048566	GO:0048557	part_of	GO:0048566	0.8461538461538461
GO:0034599_is_a_GO:0006979	GO:0034599	is_a	GO:0006979	0.16666666666666666
GO:0044421_part_of_GO:0005576	GO:0044421	part_of	GO:0005576	0.5076628352490421
GO:1901072_is_a_GO:0046348	GO:1901072	is_a	GO:0046348	1.0
GO:0001711_part_of_GO:0035987	GO:0001711	part_of	GO:0035987	1.0
GO:0034606_is_a_GO:0060179	GO:0034606	is_a	GO:0060179	0.5531914893617021
GO:0034608_is_a_GO:0060179	GO:0034608	is_a	GO:0060179	0.3829787234042553
GO:0048566_is_a_GO:0048565	GO:0048566	is_a	GO:0048565	0.1780821917808219
GO:0048546_part_of_GO:0048565	GO:0048546	part_of	GO:0048565	0.2602739726027397
GO:0060465_part_of_GO:0048565	GO:0060465	part_of	GO:0048565	0.6986301369863014
GO:0006032_is_a_GO:0006030	GO:0006032	is_a	GO:0006030	0.7735849056603774
GO:0005578_is_a_GO:0044421	GO:0005578	is_a	GO:0044421	0.19622641509433963
GO:0005615_is_a_GO:0044421	GO:0005615	is_a	GO:0044421	0.8490566037735849
GO:0005604_is_a_GO:0044421	GO:0005604	is_a	GO:0044421	0.07924528301886792
GO:0046580_is_a_GO:0051058	GO:0046580	is_a	GO:0051058	1.0
GO:1901652_is_a_GO:0010243	GO:1901652	is_a	GO:0010243	0.4
GO:0071417_is_a_GO:0010243	GO:0071417	is_a	GO:0010243	0.42857142857142855
GO:0042439_is_a_GO:0006576	GO:0042439	is_a	GO:0006576	0.6571428571428571
GO:0042737_is_a_GO:0017144	GO:0042737	is_a	GO:0017144	1.0
GO:0015914_is_a_GO:0015748	GO:0015914	is_a	GO:0015748	0.5142857142857142
GO:1901653_is_a_GO:1901701	GO:1901653	is_a	GO:1901701	0.5454545454545454
GO:0043207_is_a_GO:0009607	GO:0043207	is_a	GO:0009607	1.0
GO:0006032_is_a_GO:1901072	GO:0006032	is_a	GO:1901072	1.0
GO:0000737_is_a_GO:0006308	GO:0000737	is_a	GO:0006308	0.6363636363636364
GO:0035428_is_a_GO:0008645	GO:0035428	is_a	GO:0008645	1.0
GO:0015758_is_a_GO:0008645	GO:0015758	is_a	GO:0008645	1.0
GO:0052652_is_a_GO:0009190	GO:0052652	is_a	GO:0009190	1.0
GO:0032103_is_a_GO:0032101	GO:0032103	is_a	GO:0032101	0.29545454545454547
GO:0050920_is_a_GO:0032101	GO:0050920	is_a	GO:0032101	0.5
GO:0044106_is_a_GO:0009308	GO:0044106	is_a	GO:0009308	0.9722222222222222
GO:0043434_is_a_GO:1901652	GO:0043434	is_a	GO:1901652	0.8571428571428571
GO:1901653_is_a_GO:1901652	GO:1901653	is_a	GO:1901652	0.8571428571428571
GO:0005604_is_a_GO:0044420	GO:0005604	is_a	GO:0044420	0.7777777777777778
GO:0005765_part_of_GO:0005764	GO:0005765	part_of	GO:0005764	0.22549019607843138
GO:1904659_is_a_GO:0035428	GO:1904659	is_a	GO:0035428	1.0
GO:0010506_is_a_GO:0031329	GO:0010506	is_a	GO:0031329	0.38666666666666666
GO:0031330_is_a_GO:0031329	GO:0031330	is_a	GO:0031329	0.17333333333333334
GO:1903362_is_a_GO:0031329	GO:1903362	is_a	GO:0031329	0.5333333333333333
GO:0031331_is_a_GO:0031329	GO:0031331	is_a	GO:0031329	0.49333333333333335
GO:0052695_is_a_GO:0019585	GO:0052695	is_a	GO:0019585	1.0
GO:0009266_is_a_GO:0009628	GO:0009266	is_a	GO:0009628	0.41708542713567837
GO:0009314_is_a_GO:0009628	GO:0009314	is_a	GO:0009628	0.21608040201005024
GO:0006986_is_a_GO:0035966	GO:0006986	is_a	GO:0035966	0.8555555555555555
GO:0035967_is_a_GO:0035966	GO:0035967	is_a	GO:0035966	0.9111111111111111
GO:0007617_is_a_GO:0044705	GO:0007617	is_a	GO:0044705	1.0
GO:0006006_is_a_GO:0019318	GO:0006006	is_a	GO:0019318	0.5483870967741935
GO:0051707_is_a_GO:0043207	GO:0051707	is_a	GO:0043207	1.0
GO:0006904_is_a_GO:0048278	GO:0006904	is_a	GO:0048278	0.78125
GO:0034620_is_a_GO:0006986	GO:0034620	is_a	GO:0006986	0.987012987012987
GO:0043053_is_a_GO:0055115	GO:0043053	is_a	GO:0055115	1.0
GO:1901071_is_a_GO:0006040	GO:1901071	is_a	GO:0006040	0.859375
GO:0046348_is_a_GO:0006040	GO:0046348	is_a	GO:0006040	0.640625
GO:0010466_is_a_GO:0051346	GO:0010466	is_a	GO:0051346	0.8607594936708861
GO:0007098_is_a_GO:0051297	GO:0007098	is_a	GO:0051297	0.7058823529411765
